hotel_unit,name,rating,date,review,processed_review,translated_review
Go,JJ,9.4,2018-05-05,Tetapi makanannya kurang variatif. Thanks,makan kurang variatif terima kasih,"eating less variety, thank you"
Go,PW,8.5,2017-09-09,"Hotel yang bagus, bersih, tetapi tidak ada soket internasional sehingga perlu mencari adaptor untuk memasangnya karena barang elektronik saya standar Inggris",hotel bagus bersih soket internasional perlu cari adaptor pasang barang elektronik standar inggris,"nice clean hotel, international sockets, need to look for an adapter to plug in British standard electronics"
Go,A,9.4,2021-07-31,Nyaman dan pelayanannya ramah.,nyaman layan ramah,"comfortable, friendly service"
Go,Ferry T.,9.1,2019-04-20,"plus: pelayanan ramah, harga oke, makanan cukup variatif walau biasa, air panas lancar, AC dingin. minus: kebersihan kamar msh perlu ditingkatkan. msh ada sisa sampah tamu sblmnya tertinggal dibawah kasur. cuma disediakan tissue toilet, tissue meja tdk ada. tetapi cukup puas menginap di sini.thx",plus layan ramah harga oke makan cukup variatif biasa air panas lancar ac dingin minus bersih kamar perlu tingkat sisa sampah tamu sblmnya tinggal bawah kasur cuma sedia tissue toilet tissue meja cukup puas inap sinithx,"plus friendly service, okay prices, the food is quite varied, the hot water runs smoothly, the AC is cold, the minus is clean, the rooms need to level the remaining waste, the guests beforehand live under the mattress, only toilet tissue is available, table tissue is quite satisfied with the stay sinithx"
Go,Bagus D. P.,9.7,2018-07-09,Kamar nyaman. View bagus menghadap ke jalan raya,kamar nyaman view bagus hadap jalan raya,comfortable room with nice view facing the main road
Go,NR,8.3,2017-09-10,"Tidak bisa makan malam, room service close jam 21.00 , dan tidak tersedia parkiran yang baik.",makan malam room service close jam sedia parkir baik,dinner room service close hours good parking available
Go,RR,8.5,2017-09-13,Lumayan memuaskan meski menu sarapan kurang pilihannya.,lumayan muas meski menu sarap kurang pilih,quite satisfying even though the breakfast menu is not very selective
Go,DY,8.5,2019-01-29,"Not bad, bisa dijadikan alternatif.",henti buruk jadi alternatif,Bad stop is an alternative
Go,SS,8.4,2017-10-08,"Hotel bersih, pelayanan baik, tapi lahan parkir kurang luas dan makanannya dingin. Air di kamar mandi agak bau, kamar ada connecting doornya jadi bisa agak kedengeran sebelah baru ngapain.",hotel bersih layan baik lahan parkir kurang luas makan dingin air kamar mandi bau kamar connecting doornya jadi kedengeran belah baru sedang apa,"clean hotel, good service, parking area is not spacious, food is cold, bathroom water smells, room connecting door makes it sound like it's broken, what's going on?"
Go,H,8.5,2019-12-27,"Pelayanan ramah, kamar tipe standar dengan fasilitas cukup baik hanya saja masih ada debu dipojok-pojok kamar.",layan ramah kamar tipe standar fasilitas cukup baik debu dipojokpojok kamar,"friendly service, standard type rooms, facilities are quite good, dust in the corners of the room"
Go,Putu U. H.,9.4,2023-04-26,Cukup menyenangkan dan cukup baik.,cukup senang cukup baik,quite happy quite good
Go,NT,8.1,2018-01-03,"Kamarnya cukup nyaman, tapi untuk menu breakfast nya, kurang memuaskan. tolong ditingkatkan lagi.",kamar cukup nyaman menu breakfast nya kurang muas tingkat,"the room is quite comfortable, the breakfast menu is not up to par"
Go,virgian a. s.,8.8,2019-02-04,"Luas, nyaman, minus parkir saja, parkiran penuh terpaksa parkirnya jauh, tapi securitynya baik mau mengantar dan jemput ke area parkir.",luas nyaman minus parkir parkir penuh paksa parkir jauh securitynya baik mau antar jemput area parkir,"spacious, comfortable, minus parking, full parking, forced parking far away, security is good, pick up and drop off at the parking area"
Go,doni p.,5.1,2022-11-09,"Pelayanan front office kurang friendly. Nginep 2 hari dibilang 1 hari dan kembali dicek lagi, mbaknya kurang senyum. Check out maximal 12.30, sudah confirm di front desk, tapi saat di kamar ditelepon kembali, pada saat telepon saya jelaskan, mbaknya langsung diam. Harusnya sesama front office harus komunikasi. Tidak ada greeting sama sekali padahal sering lewat depan front office, hanya pada diam dan melihat saja. Kondisi kamar oke bersih cuman kamar 1022 pintu kamar mandi susah untuk ditutup. Kondisi kamar bersih dan tersedia 1 air galon di depan lift, jadi yang dapat kamar ujung harus jalan lumayan jauh. Pinjam bantal harus nunggu 45 menit mungkin, staff cowok yang jaga di front office lupa, jadi harus ditelepon ulang,",layan front office kurang friendly inap hari bilang hari cek mbak kurang senyum check out maximal confirm front desk kamar telepon telepon jelas mbak langsung diam harus sama front office komunikasi greeting sama sekali padahal sering lewat depan front office diam lihat kondisi kamar oke bersih cuma kamar pintu kamar mandi susah tutup kondisi kamar bersih sedia air galon depan lift jadi kamar ujung jalan lumayan jauh pinjam bantal tunggu menit mungkin staff cowok jaga front office lupa jadi telepon ulang,"the front office service is not friendly, the stay on the day says the check-in day, sis, there is no smile, the check out is maximal, the front desk room telephone is clear, the phone is clear, sis, you are immediately silent, you have to communicate with the front office to communicate at all, even though you often pass by the front office, you are silent, see the condition of the room, it's okay, clean, only the room door It's hard to take a shower, the condition of the room is clean, there's gallon water available in front of the lift, so the room at the end of the road is quite far, borrow a pillow, wait a minute, maybe the male staff guarding the front office forgot to call again"
Go,H,9.6,2017-06-20,Untuk hotel standar dan kebetulan bangunanya terlihat amat baru sehingga masih segar. Pelayanan oke.,hotel standar betul bangunanya lihat baru segar layan oke,"The hotel is really standard, the building looks new and fresh, the service is okay"
Go,AA,4.8,2023-08-15,Pelayanan front liner atas nama maryam luar biasa 👎🏻.,layan front liner atas nama maryam luar biasa,front line service on behalf of Maryam is extraordinary
Go,EV,4.5,2017-11-13,"Seprei kotor tidak diganti, menu sarapan tidak layak, pelayanan tidak ramah, parkir susah",seprei kotor ganti menu sarap layak layan ramah parkir susah,"Dirty bed sheets change decent breakfast menu, friendly service, parking is difficult"
Go,as,9.7,2019-03-18,"Pelayanan ramah, bisa request posisi kamar.",layan ramah request posisi kamar,friendly service requesting room position
Go,Listin L.,6.2,2022-12-27,"Receptionist nya sih oke, ramah. Untuk toilet dan kebersihan lantai kamar harus lebih diperhatikan lagi. Khusus untuk satpamnya ga banget. Pelayanan mereka minus sekali! Saat itu kondisi kami kesana memang urgent dan mengharuskan kami untuk diantar dengan kendaraan apa adanya begitu tiba di Jogja. Hmm begitu sampai hotel, pelayanan satpam sangat tak menghormati hanya karena melihat kendaraan apa yang kami naiki. Astagfirullah, penilaiannya hanya sebatas penampilan apa yang dibawa oleh tamunya saja. Tidak ada greeting dan pertolongan sama sekali saat itu. Dan bagi saya sebagai orang yang bergerak di bidang jasa juga, hal tersebut sangat buruk dan dapet merusak citra perusahaan. Coba ya pihak management Grand Orchid Hotel bisa lebih baik lagi dalam melatih dan me-maintenance para satpamnya untuk lebih profesional pada setiap tamu, jangan memandang sebelah mata hanya karena apa yang mereka bawa (jenis kendaraannya).",receptionist nya sih oke ramah toilet bersih lantai kamar lebih perhati khusus satpam banget layan minus sekali kondisi kesana memang urgent harus antar kendara apa ada tiba jogja hmm hotel layan satu aman sangat hormat lihat kendara apa naik astagfirullah nilai batas tampil apa bawa tamu greeting tolong sama sekali orang gerak bidang jasa sebut sangat buruk rusak citra usaha coba iya pihak management grand orchid hotel lebih baik latih memaintenance satpam lebih profesional tamu jangan pandang belah mata apa bawa jenis kendara,"the receptionist is okay friendly, the toilet is clean, the room floor is more attentive, especially the security guard, the service is really bad, the conditions there are indeed urgent, you have to take the vehicle, whether there is one, arrive in Jogja, hmm, a one-service hotel, it's safe, very respectful, look at the vehicle, whether it's up, God willing, what is the limit value for appearing or bringing guests, greetings, please at all people working in the service sector say it is very bad, damage to the business image, try it, the management of the Grand Orchid Hotel is better off training the maintenance of the security guards to be more professional, guests don't look away or bring a type of vehicle"
Go,AA,5.7,2019-07-30,"Petugas tidak ramah, pelayanan jelek, cukup sekali menginap di hotel ini, sangat menyesal.",tugas ramah layan jelek cukup sekali inap hotel sangat sesal,"friendly service, bad service, just one hotel stay, very regretful"
Go,ms,8.5,2017-06-12,"Hotel baru namun service-nya memuaskan, recommended juga untuk stay bersama keluarga",hotel baru servicenya muas recommended stay sama keluarga,"New hotel, service is satisfactory, recommended stay with family"
